Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_158.jpg;0;0.8994008;0;1.623318;101.334;86.43559;1.262303;26.96948;-0.0009858675
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_224.jpg;0;0.7022548;0;1.664096;101.4238;86.48081;1.261466;26.96093;-0.001001346
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_290.jpg;0;0.5014199;0;1.702698;101.515;86.52676;1.25915;26.95338;-0.0004862882
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_356.jpg;0;0.3014542;0;1.71996;101.6377;86.5885;1.235587;26.93949;-0.0004209549
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_423.jpg;0;0.1030375;0;1.728892;101.7297;86.63475;1.185796;26.92897;-0.0003612769
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_490.jpg;0;0;0;1.726141;101.8209;86.68061;1.098621;26.91872;-0.0002638112
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_556.jpg;0;0;0;1.721177;101.9413;86.74117;0.9348869;26.90568;-3.567648E-05
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_623.jpg;0;0.1000071;0;1.715867;102.031;86.78629;0.7900369;26.89702;0.001889127
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_690.jpg;0;0.2999479;0;1.717558;102.1209;86.83159;0.6478834;26.89089;0.008563283
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_756.jpg;0;0.4999645;0;1.729498;102.2423;86.89288;0.4987415;26.88512;0.02064631
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_823.jpg;0;0.300302;0;1.746905;102.3348;86.9396;0.4200232;26.88144;0.02953848
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_889.jpg;0;0.1006466;0;1.75648;102.4278;86.98656;0.3505959;26.87859;0.03850086
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_20_956.jpg;0;0;0;1.753116;102.5513;87.04903;0.2475495;26.87719;0.05257618
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_023.jpg;0;0;0;1.747786;102.6434;87.09567;0.1598006;26.87731;0.06314175
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_089.jpg;0;0;0;1.740119;102.735;87.1421;0.06507595;26.87742;0.07150607
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_156.jpg;0;0;0;1.734329;102.8567;87.20373;359.9344;26.87756;0.0792468
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_223.jpg;0;0;0;1.728508;102.9477;87.24974;359.8436;26.87518;0.07607141
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_290.jpg;0;0;0;1.720433;103.0387;87.2957;359.7663;26.87206;0.06400081
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_355.jpg;0;0;0;1.714412;103.1597;87.35684;359.6838;26.86678;0.03629235
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_423.jpg;0;0;0;1.708369;103.2503;87.4027;359.6326;26.86545;0.01541709
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_489.jpg;0;0;0;1.700463;103.3407;87.44843;359.5934;26.86257;359.9895
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_556.jpg;0;0;0;1.694367;103.461;87.50954;359.5639;26.86556;359.9707
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_623.jpg;0;0;0;1.688366;103.551;87.55518;359.5489;26.86589;359.9586
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_689.jpg;0;0;0;1.680347;103.6409;87.60088;359.5492;26.86975;359.96
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_756.jpg;0;0;0;1.674565;103.7604;87.66143;359.5515;26.87012;359.9583
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_822.jpg;0;0;0;1.668815;103.8497;87.70681;359.5619;26.87282;359.9653
C:\Users\sugarbear8oh3\Documents\Udacity_Robotics\RoboND-Rover-Project\new_data\IMG\robocam_2017_08_19_17_12_21_889.jpg;0;0;0;1.660948;103.9388;87.75198;359.5756;26.87342;359.9724
